Year,Title,Authors,Journal,Volume,DOI
2025,Reduced penetration of northern‐sourced waters into the South Atlantic during the Last Interglacial relative to the Holocene,"Dias, B.B., Chiessi, C.M., Piotrowski, A.M., Campos, M.C., Jena, P.S., Ballalai, J.M., Nascimento, R.A., Santos, T.P., Venancio, I.M., Mashayek, A., Albuquerque, A.L.S.",Paleoceanography and Paleoclimatology,,https://doi.org/10.1029/2024PA004955
2024,Spatial variability in residence time of Beryllium in the Indian Ocean,"Jena, P.S., Bhushan, R., Jena, S.K., Ajay, S., Sudheer, A.K.",Journal of Environmental Radioactivity,"280, 107549",https://doi.org/10.1016/J.JENVRAD.2024.107549
2024,"Centennial-millennial scale global climate-linked monsoonal and non-monsoonal changes in the eastern Arabian Sea during the last 42,800 years","Ansari, M.A., Ansari, A.H., Mishra, R., Arif, M., Jena, P.S., Dabhi, A., Bhushan, R., Singh, D.P., Maurya, A.S., Das, P.K., Rahi, I.C., Agrawal, S.",Marine Geology,"472, 107307",https://doi.org/10.1016/J.MARGEO.2024.107307
2024,"Climate, human settlement, and migration in South Asia from early historic to medieval period","Sarkar, A., Sengupta, T., Ambekar, A., Bhushan, R., Dimri, A.P., Deshpande-Mukherjee, A., Sharma, A., Liang, M.C., Jena, P.S., Chakraborty, A., Sanyal, P., Dabhi, A., Juyal, N.",Quaternary Science Reviews,"324, 108470",https://doi.org/10.1016/J.QUASCIREV.2023.108470
2024,"10Be exposure age dating of moraines and glacially polished bedrocks in Karakoram and Ladakh Ranges, NW Himalaya","Jena, P.S., Bhushan, R., Sharma, S., Dabhi, A.J., Shivam, A., Raj, H., Juyal, N.",Journal of Geophysical Research: Earth Surface,"128, e2023JF007216",https://doi.org/10.1029/2023JF007216
2023,"10Be exposure age dating of moraines and glacially polished bedrocks in Karakoram and Ladakh Ranges, NW Himalaya","Jena, P.S., Bhushan, R., Sharma, S., Dabhi, A.J., Shivam, A., Raj, H., Juyal, N.","Journal of Geophysical Research: Earth Surface,","128, e2023JF007216",https://doi.org/10.1029/2023JF007216
2023,Applicability of meteoric 10Be in dating marine sediment cores,"Jena, P.S., Bhushan, R., Ajay, S., Dabhi, A.J., Gaddam, M., Sudheer, A.K",Marine Chemistry,104275,oi.org/10.1016/J.MARCHEM.2023.104275
2023,Holocene evolution of the Banni Plain at the North-East margin of the Arabian Sea,"Kumar, A., Maurya, D.M., Phartiyal, B., Arif, M., Khonde, N., Bhushan, R., Jena, P.S., Dabhi, A., Chamyal, L.S.",The Depositional Record,0-3,https://doi.org/10.1002/dep2.241
2023,Spatial heterogeneity in beryllium isotopic distribution in the Indian Ocean,"Jena, P.S., Bhushan, R., Ajay, S., Sudheer, A.K.",Geochimica et Cosmochimica Acta,,https://doi.org/10.1016/J.GCA.2022.12.009
2023,A 2600 year multi-proxy record for climate and vegetation reconstruction along the Mahanadi River delta,"Samal, P., Singarasubramanian, S.R., Srivastava, J., Kawsar, M., Manoj, M.C., Gurumurthy, G.P., Chauhan, M., Ali, S., Mahboob, A., Sharma, A., Jena, P.S., Shivam, A., Bhushan, R.",The Holocene,,https://doi.org/10.1177/09596836231163492
2023,Coastal vegetation dynamics in response to climatic and relative sea level changes,"Samal, P., Singarasubramanian, S.R., Srivastava, Jena, P.S., Shivam, A., Bhushan, R.",Palynology,,https://doi.org/10.1080/01916122.2022.2134937
2022,"Late Holocene wildfire record from the Stagmo peat section, Leh valley, NW Himalaya","Sagwal, S., Sengupta, D., Kumar, A., Dutt, S., Srivastava, P., Agnihotri, R., Gahlaud, S., Jena, P.S., Shivam, A., Bhushan, R.",The Holocene,,https://doi.org/10.1177/09596836231157066
2022,Seasonal variation of surface seawater radiocarbon in the Andaman Sea as recorded in coral,"Raj, H., Bhushan, R., Banerji, U.S., Jena, P.S., Dabhi, A.J.",Journal of Environmental Radioactivity,"255, 107021",https://doi.org/10.1016/J.JENVRAD.2022.107021
2022,"Relict proglacial lake of Spituk (Leh), northwest (NW) Himalaya: A repository of hydrological changes during Marine Isotopic Stage (MIS)-2","Jena, P.S., Bhushan, R., Raj, H., Dabhi, A.J., Sharma, S., Shukla, A.D., Juyal, N.","Palaeogeography, Palaeoclimatology, Palaeoecology",111164,https://doi.org/10.1016/j.palaeo.2022.111164
2022,"Palaeoclimatic variability during last eight millennia from a morainal lake in Zanskar, northwest Himalaya","Phartiyal, B., Ali, S.N., Sharma, A., Agrawal, S., Nag, D., Tiwari, P., Kumar, M., Morthekai, P., Govil, P., Thakur, B., Bhushan, R., Jena, P.S., Shivam, A.",Journal of Palaeosciences,"71, 75–88",
2022,New chronology for megalithic burials in Vidarbha (central India): insights into contemporary hydro-climate and food habits,"Patel, N., Trivedi, P., Agnihotri, R., Rai, N., Sathe, V., Khonde, N., Bhushan, R., Jena, P.S., Shivam, A., Kumar, A.",Radiocarbon,"00, 1–17",https://doi.org/10.1017/RDC.2022.47
2022,Evidence of poorly ventilated deep Central Indian Ocean during the last glaciation,"Bharti, N., Bhushan, R., Skinner, L., Muruganantham, M., Jena, P.S., Dabhi, A., Shivam, A.",Earth and Planetary Science Letters," 582, 117438",https://doi.org/10.1016/J.EPSL.2022.117438
2022,10Be depositional flux variation in the central Indian Ocean during the last 43 ka,"Jena, P.S., Bhushan, R., Ajay, S., Bharti, N., Sudheer, A.K.",Science of The Total Environment,149808,https://doi.org/10.1016/j.scitotenv.2021.149808
2021,Production rate variation and changes in sedimentation rate of marine core dated with meteoric 10Be and 14C,"Jena, P.S., Bhushan, R., Shivam, A., Nambiar, R., Bharti, N.",Journal of Environmental Radioactivity,"237, 106678",https://doi.org/10.1016/j.jenvrad.2021.106678
2020,"Holocene hydroclimatic variability in the Zanskar Valley, Northwestern Himalaya, India","Ali, S.N., Agrawal, S., Sharma, A., Phartiyal, B., Morthekai, P., Govil, P., Bhushan, R., Farooqui, S., Jena, P.S., Shivam, A.",Quaternary Research,,https://doi.org/10.1017/qua.2020.22
2019,Spatio-temporal variations in ecosystem and CO₂ sequestration in coastal lagoon: A foraminiferal perspective,"Barik, S.S., Singh, R.K., Jena, P.S., Tripathy, S., Sharma, K., Prusty, P.",Marine Micropaleontology,,https://doi.org/10.1016/j.marmicro.2019.02.003
